ITEM,Backwoods,BusStop,Farm,FarmCave,Town,Forest,Woods,Sewer,BugLand,Beach,Mountain,Railroad,Mines,WitchSwamp,Desert,IslandNorth,IslandNorthCave1,IslandSouth,IslandWest,IslandEast,IslandSouthEast,IslandShrine,IslandSouthEastCave,Summit,Mine,Volcano
Chicory Root,All,All,All,,All (Rare),All,All,,,,All,All,,All,,,,,,,,,,All,,
Dandelion Root,All,All,All,,All (Rare),All,All,,,,All,All,,All,,,,,,,,,,All,,
Gentian Root,All,All,All,,All (Rare),All,All,,,,All,All,,All,All,,,,,,,,,All,,
Sunchoke,All,All,All,,All (Rare),All,All,,,,All,All,,All,,,,,,,,,,All,,
Sassafras Root,All,All,All,,All (Rare),All,All,,,,All,All,,All,,,,,,,,,,All,,
Yarrow Root,All,All,All,,All (Rare),All,All,,,,All,All,,All,,,,,,,,,,All,,
Broken CD,All,All,All,,All,All,,,,All,All,All,,,All,All,,All,All,All (Rare),All,All,,All (Rare),All,
Broken Glasses,All,All,All,,All,All,,,,All,All,All,,,All,All,,All,All,All (Rare),All,All,,All (Rare),All,
Garbage,All,All,All,,All,All,,All,,All,All,All,,,All,All,,All (Rare),All (Rare),All,All (Rare),All,,All (Rare),All,
Junk,All,All,All,,All,All,All,All,,All (Snow/Storm),All,All,,,All (Rare),All,,All (Snow/Storm),All (Snow/Storm),All,All (Snow/Storm),All,All,All,All,
Plastic Bag,All,All,All,,All,All,,All,,All,All,All,,,All,All,,All (Rare),All (Rare),All,All (Rare),All,,All,All,
Plastic Bottle,All,All,All,,All,All,,All,,All,All,All,,,All,All,,All (Rare),All (Rare),All,All (Rare),All,,All,All,
Rock Salt,All,All,All,,All,All,,,,All,All,All,,,All,All,,All,All,All (Rare),All,All,,All (Rare),All (Rare),All
Soda-Pop Ring,All,All,All,,All,All,,All,,All,All,All,,,All,All,,All (Rare),All (Rare),All,All (Rare),All,,All,All,
Soggy Newspaper,All,All,All,,All,All,,All,,All,All,All,,,All,All,,All (Rare),All (Rare),All,All (Rare),All,,All (Rare),All,
Trash,All,All,All,,All,All,,All,,All (Snow/Storm),All,All,,,All,All,,All (Snow/Storm),All (Snow/Storm),All,All (Snow/Storm),All,,All,All,
Ancient Coin,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),All (Rare)
Silver Coin,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),All,All (Rare),All (Rare),All (Rare)
Silver Ore,All (Rare),All (Rare),All (Rare),,,All (Rare),,,,,All (Rare),All (Rare),,,,All (Rare),,,All (Rare),All (Rare),All (Rare),All (Rare),All,All (Rare),,
Aquamarine,All (Rare),All (Rare),All (Rare),,,All (Rare),,,,,All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,,All (Rare),All (Rare),,All (Rare),,All (Rare),All (Rare),All (Rare)
Amethyst,All (Rare),All (Rare),All (Rare),,,All (Rare),,,,,All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,,All (Rare),All (Rare),,All (Rare),,All (Rare),All (Rare),All (Rare)
Diamond,All (Rare),All (Rare),All (Rare),,,All (Rare),All (Rare),,,All (Storm) (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),All (Rare)
Emerald,All (Rare),All (Rare),All (Rare),,,All (Rare),All (Rare),,,All (Storm) (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),All,All (Rare),All (Rare),All (Rare)
Fire Opal,All (Rare),All (Rare),All (Rare),,,All (Rare),,,,,All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,,All (Rare),All (Rare),,All (Rare),,All (Rare),All (Rare),All (Rare)
Jade,All (Rare),All (Rare),All (Rare),,,All (Rare),All (Rare),,,,All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,,All (Rare),All (Rare),,All (Rare),,All (Rare),All (Rare),All (Rare)
Onyx,All (Rare),All (Rare),All (Rare),,,All (Rare),,,,,All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,,All (Rare),All (Rare),,All (Rare),All,All (Rare),All (Rare),All
Opal,All (Rare),All (Rare),All (Rare),,,All (Rare),,,,,All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,,All (Rare),All (Rare),,All (Rare),,All (Rare),All (Rare),All (Rare)
Sapphire,All (Rare),All (Rare),All (Rare),,,All (Rare),All (Rare),,,All (Storm) (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),All,All (Rare),All (Rare),All (Rare)
Topaz,All (Rare),All (Rare),All (Rare),,,All (Rare),,,,,All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,,All (Rare),All (Rare),,All (Rare),,All (Rare),All (Rare),All (Rare)
Ruby,All (Rare),All (Rare),All (Rare),,,All (Rare),All (Rare),,,All (Storm) (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),All,All (Rare),All (Rare),All (Rare)
Black Truffle,All (Rare),All (Rare),All (Rare),All,,All (Rare),All (Rare),,,,All (Rare),All (Rare),,All (Rare),,,All (Rare),,,,,,,All (Rare),All (Rare),
Truffle,All (Rare),All (Rare),All (Rare),All,,All (Rare),All (Rare),,,,All (Rare),All (Rare),,,,,All (Rare),,,,,,,All (Rare),All (Rare),
White Truffle,All (Rare),All (Rare),All (Rare),All,,All (Rare),All (Rare),,,,All (Rare),All (Rare),,,,,All (Rare),,,,,,,All (Rare),All (Rare),
Golden Chest,All (Rare),All (Rare),All (Rare),,,All (Rare),All (Rare),,,All (Snow/Storm) (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Rare),All (Snow/Storm) (Rare),All (Rare),All (Rare),All (Rare),All (Rare),All (Rare)
Pearl,All (Rare),All (Rare),All (Rare),,,All (Rare),,,,All (Rare),All (Rare),All (Rare),,,All (Rare),,,All (Rare),All (Rare),,All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare)
Treasure Chest,All (Rare),All (Rare),All (Rare),,,All (Rare),All (Rare),,,All (Snow/Storm) (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Rare),All (Snow/Storm) (Rare),All (Rare),All (Rare),All (Rare),All (Rare),All (Rare)
Beach Glass,,,,,,,,,,All,,,,,,,,All (Rare),All (Rare),,All (Rare),,All,,,
Bleached Coral,,,,,,,,,,All (Snow/Storm),,,,,,,,All (Snow/Storm),All (Snow/Storm),,All (Snow/Storm),,All,,,
Fish Skeleton,,,,,,,,All,,All,,,,,,,,All (Rare),All (Rare),,All (Rare),,All,,,
Driftwood,,,,,,,,,,All,,,,,,,,All (Rare),All (Rare),,All (Rare),,,,,
Shark Tooth,,,,,,,,,,All (Snow/Storm) (Rare),,,,,,,,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),,All (Snow/Storm) (Rare),,All,,,
Black Pearl,,,,,,,,,,All (Rare),,,,All (Rare),,All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),,All (Rare),,,
Giant Pearl,,,,,,,,,,All (Rare),,,,,,,,All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),,
Megalodon Tooth,,,,,,,,,,All (Rare),,,,,,,,All (Rare),All (Rare),,All (Rare),,,,,
Caraway Root,,,,,,,,,,,,,,,All,,,,,,,,,,,
Green Onion,,,,,,Sp,,,,,,,,,,,,,,,,,,,,
Scallion,,,,,,Sp,,,,,,,,,,,,,,,,,,,,
Cassava Root,,,,,,,,,,,,,,,,All (Rare),,,All (Rare),All (Rare),,All (Rare),,,,
Turmeric,,,,,,,,,,,,,,,,All (Rare),,,All (Rare),All (Rare),,All (Rare),,,,
Tigerseye,,,,,,,,,,,,,,,,All (Rare),,,,All (Rare),All (Rare),,,,,
Clay,,,,,,,,,,,,,,,,,,,,,,,,,All (Rare),
Coal,,,,,,,,,,,,All,,,,,,,,,,,,,All (Rare),All
Lodestone,,,,,,,,,,,All (Rare),All (Rare),,,,,,,,,,,,,All (Rare),All
Nahcolite,,,,,,,,,,,,,,,,,,,,,,,,,All (Rare),All
Obsidian,,,,,,,,,,,,,,All (Rare),,,,,,,,,,,,All
Black Carrot,,,,,,,,,,,,,,All,,,,,,,,,,,,
Glass Pumpkin,,,,,,,,,,,,,,All (Rare),,,,,,,,,,,,
Mandrake,,,,,,,,,,,,,,All (Rare),,,,,,,,,,,,
Silver Leaf,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,,,All (Rare),All (Rare),,,,,,,,,,,,All (Rare),,
Silver Antler,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,,,All (Rare),All (Rare),,,,,,,,,,,,All (Rare),,
Golden Leaf,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,,,All (Rare),All (Rare),,,,,,,,,,,,All (Rare),,
Golden Antler,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,,,All (Rare),All (Rare),,,,,,,,,,,,All (Rare),,
Elvish Jewelry,,,,,,,All (Rare),,,,,,,,,,,,,,,,,,,
Shamrock,Sp Su (Sun) (Rare),Sp Su (Sun) (Rare),Sp Su (Sun) (Rare),,Sp Su (Sun) (Rare),Sp Su (Sun),Sp Su (Sun) (Rare),,,,Sp Su (Sun) (Rare),Sp Su (Sun) (Rare),,,,,,,,,,,,Sp Su (Sun) (Rare),,
Wild Daisy,Sp (Sun) (Rare),Sp (Sun) (Rare),Sp (Sun) (Rare),,Sp (Sun) (Rare),Sp (Sun),Sp (Sun) (Rare),,,,Sp (Sun) (Rare),Sp (Sun) (Rare),,,,,,,,,,,,Sp (Sun) (Rare),,
Chicory,Sp,Sp,Sp,,Sp,Sp,Sp,,,,Sp,Sp,,,,,,,,,,,,Sp,,
Clover,All,All,All,,All,All,All,,,,All,All,,,,,,,,,,,,All,,
Dandelion Greens,Sp Su,Sp Su,Sp Su,,Sp Su,Sp Su,Sp Su,,,,Sp Su,Sp Su,,,,,,,,,,,,Sp Su,,
Dandelion Puffball,All,All,All,,All,All,All,,All,,All,All,,All,,,,,,,,,,All,,
Amanita,All,All,All,All,All,All,All,All,All,,All,All,,All,,,All (Rare),,,,,,,All,All (Rare),
Chicory Flower,Sp (Sun) (Rare),Sp (Sun) (Rare),Sp (Sun) (Rare),,Sp (Sun) (Rare),Sp (Sun),Sp (Sun) (Rare),,,,Sp (Sun) (Rare),Sp (Sun) (Rare),,,,,,,,,,,,Sp (Sun) (Rare),,
Dryad's Saddle,Sp Su Fa,Sp Su Fa,Sp Su Fa,,Sp Su Fa,Sp Su Fa,Sp Su Fa,,,,Sp Su Fa,Sp Su Fa,,,,,,,,,,,,Sp Su Fa,,
Foxglove,All (Snow/Storm),All (Snow/Storm),All (Snow/Storm),,All (Snow/Storm),All (Snow/Storm),All (Snow/Storm),,All,,All (Snow/Storm),All (Snow/Storm),,All,,,,,,,,,,All (Snow/Storm),,
Wild Grapes,Sp Su,Sp Su,Sp Su,,Sp Su,Sp Su,,,,,Sp Su,Sp Su,,,,,,,,,,,,Sp Su,,
Wild Violet,Sp (Sun) (Rare),Sp (Sun) (Rare),Sp (Sun) (Rare),,Sp (Sun) (Rare),Sp (Sun),Sp (Sun) (Rare),,,,Sp (Sun) (Rare),Sp (Sun) (Rare),,,,,,,,,,,,Sp (Sun) (Rare),,
Stinging Nettle,All (Snow/Storm),All (Snow/Storm),All (Snow/Storm),,All (Snow/Storm),All (Snow/Storm),All (Snow/Storm),,All,,All (Snow/Storm),All (Snow/Storm),,All,,,,,,,,,,All (Snow/Storm),,
Button Mushroom,All,All,All,All,All,All,All,All,All,,All,All,,All,,All,All (Rare),,All,All,,All,,All,All (Rare),
Crabapple,Sp,Sp,,,,Sp,Sp,,,,Sp,Sp,,,,,,,,,,,,Sp,,
Elderberry,Sp,Sp,,,,Sp,Sp,,,,Sp,Sp,,,,,,,,,,,,Sp,,
Grape Leaf,Sp Su,Sp Su,Sp Su,,Sp Su,Sp Su,Sp Su,,,,Sp Su,Sp Su,,,,,,,,,,,,Sp Su,,
Hawthorn Berry,Sp,Sp,,,,Sp,Sp,,,,Sp,Sp,,,,,,,,,,,,Sp,,
Canary Feather,Sp,Sp,Sp,,Sp,Sp,Sp,,,,Sp,Sp,,,,,,,,,,,,Sp,,
Cicada Shell,All,All,All,,All,All,All,,All,,All,All,,All,,,,,,,,,,All,,
Matsutake Mushroom,All,All,All,All,All,All,All,,All,,All,All,,All,,,All (Rare),,,,,,,All,All (Rare),
Nettle Blossom,Sp Su,Sp Su,Sp Su,,Sp Su,Sp Su,Sp Su,,,,Sp Su,Sp Su,,,,,,,,,,,,Sp Su,,
Bird Nest,Sp,Sp,Sp,,Sp,Sp,Sp,,,,Sp,Sp,,,,,,,,,,,,Sp,,
Dove Feather,Sp Su,Sp Su,Sp Su,,Sp Su,Sp Su,Sp Su,,,,Sp Su,Sp Su,,,,,,,,,,,,Sp Su,,
Ginkgo Leaf,Sp,Sp,,,,Sp,Sp,,,,Sp,Sp,,,,,,,,,,,,Sp,,
Huckleberry,Sp,Sp,,,,Sp,Sp,,,,Sp,Sp,,,,,,,,,,,,Sp,,
Linden,Sp Su (Sun) (Rare),Sp Su (Sun) (Rare),Sp Su (Sun) (Rare),,Sp Su (Sun) (Rare),Sp Su (Sun),Sp Su (Sun) (Rare),,,,Sp Su (Sun) (Rare),Sp Su (Sun) (Rare),,,,,,,,,,,,Sp Su (Sun) (Rare),,
Willow Bark,Sp Wi,Sp Wi,Sp Wi,,Sp Wi,Sp Wi,Sp Wi,,,,Sp Wi,Sp Wi,,,,,,,,,,,,Sp Wi,,
Deer Antler ,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,,,All (Rare),All (Rare),,,,,,,,,,,,All (Rare),,
Eagle Feather,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,,,All (Rare),All (Rare),,,All,,,,,,,,,All (Rare),,
Turtle Shell,All,All,All,,All,All,All,,All (Rare),,All,All,,All (Rare),,All (Rare),,,All (Rare),All (Rare),,All (Rare),,All,,
Sarsaparilla,Su,Su,Su,,Su,Su,Su,,,,Su,Su,,,,,,,,,,,,Su,,
Indigo,All (Sun) (Rare),All (Sun) (Rare),All (Sun) (Rare),,All (Sun) (Rare),All (Sun),All (Sun) (Rare),,,,All (Sun) (Rare),All (Sun) (Rare),,,,All,,,All,All,,All,,All (Sun) (Rare),,
Sarsaparilla Berry,Su,Su,,,,Su,Su,,,,Su,Su,,,,,,,,,,,,Su,,
Hawk Feather,All,All,All,,All,All,All,,,,All,All,,,All,,,,,,,,,All,,
Tortoise Shell,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,,,All (Rare),All (Rare),,,All (Rare),All (Rare),,,All (Rare),All (Rare),,All (Rare),,All (Rare),,
Black Shamrock,All (Snow/Storm),All (Snow/Storm),All (Snow/Storm),All,All (Snow/Storm),All (Snow/Storm),All (Snow/Storm),All,All,,All (Snow/Storm),All (Snow/Storm),,All,,,All (Rare),,,,,,,All (Snow/Storm),All (Rare),
Puffball Mushroom,All,All,All,All,All,All,All,All,All,,All,All,,All,,,All (Rare),,,,,,,All,All (Rare),
Topinambur,Fa,Fa,Fa,,Fa,Fa,Fa,,,,Fa,Fa,,,,,,,,,,,,Fa,,
Black Walnut,Fa,Fa,,,,Fa,Fa,,,,Fa,Fa,,,,,,,,,,,,Fa,,
Hawkweed,All (Sun) (Rare),All (Sun) (Rare),All (Sun) (Rare),,All (Sun) (Rare),All (Sun),All (Sun) (Rare),,,,All (Sun) (Rare),All (Sun) (Rare),,,All,,,,,,,,,All (Sun) (Rare),,
Artemisia,All (Sun) (Rare),All (Sun) (Rare),All (Sun) (Rare),,All (Sun) (Rare),All (Sun),All,,All,,All (Sun) (Rare),All (Sun) (Rare),,All,,,,,,,,,,All (Sun) (Rare),,
Pecan,Fa,Fa,,,,Fa,Fa,,,,Fa,Fa,,,,,,,,,,,,Fa,,
Cremini Mushroom,All,All,All,All,All,All,All,,All,,All,All,,All,,,All (Rare),,,,,,,All,All (Rare),
Blue Jay Feather,Fa,Fa,Fa,,Fa,Fa,Fa,,,,Fa,Fa,,,,,,,,,,,,Fa,,
Honeycomb,All,All,All,,All,All,All,,,,All,All,,,,All,,,All,All,,All,,All,,
Macadamia Nut,Fa,Fa,,,,Fa,Fa,,,,Fa,Fa,,,,,,,,,,,,Fa,,
Portobello Mushroom,All,All,All,All,All,All,All,,All,,All,All,,All,,,All (Rare),,,,,,,All,All (Rare),
Crow Feather ,All,All,All,,All,All,All,,All,All,All,All,,All,,,,,,,,,,All,,
Bee Hive,All,All,All,,All,All,All,,,,All,All,,,,All,,,All,All,,All,,All,,
Bear Claw,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,,,All (Rare),All (Rare),,,,,,,,,,,,All (Rare),,
Raven Feather ,All,All,All,,All,All,All,,All,All (Rare),All,All,,All,,,,,,,,,,All,,
Mint Flower,Wi,Wi,Wi,,Wi,Wi,Wi,,,,Wi,Wi,,,,,,,,,,,,Wi,,
Spruce Tips,Wi,Wi,Wi,,Wi,Wi,Wi,,,,Wi,Wi,,,,,,,,,,,,Wi,,
Wolfsbane,All,All,All,,All,All,All,,All,,All,All,,All,,,,,,,,,,All,,
