ITEM,Backwoods,BusStop,Farm,FarmCave,Town,Forest,Woods,Sewer,BugLand,Beach,Mountain,Railroad,Mines,WitchSwamp,Desert,IslandNorth,IslandNorthCave1,IslandSouth,IslandWest,IslandEast,IslandSouthEast,IslandShrine,IslandSouthEastCave,Summit,Mine,Volcano
Boxberry,Wi,Wi,Wi,,Wi,Wi,Wi,,,,Wi,Wi,,,,,,,,,,,,Wi,,
Cardinal Feather,Wi (Rare),Wi (Rare),Wi (Rare),,Wi (Rare),Wi (Rare),Wi (Rare),,,,Wi (Rare),Wi (Rare),,,,,,,,,,,,Wi (Rare),,
Chestnut,Wi,Wi,Wi,,Wi,Wi,Wi,,,,Wi,Wi,,,,,,,,,,,,Wi,,
Yarrow Leaf,Wi,Wi,Wi,,Wi,Wi,Wi,,,,Wi,Wi,,,,,,,,,,,,Wi,,
Birch Bark,Wi,Wi,Wi,,Wi,Wi,Wi,,,,Wi,Wi,,,,,,,,,,,,Wi,,
Juniper,Wi,Wi,,,,Wi,Wi,,,,Wi,Wi,,,,,,,,,,,,Wi,,
Mugwort,All,All,All,,All,All,All,,All,,All,All,,All,,,,,,,,,,All,,
Peppermint,Wi,Wi,Wi,,Wi,Wi,Wi,,,,Wi,Wi,,,,,,,,,,,,Wi,,
Periwinkle Flower,Sp Fa Wi (Snow/Storm) (Rare),Sp Fa Wi (Snow/Storm) (Rare),Sp Fa Wi (Snow/Storm) (Rare),,Sp Fa Wi (Snow/Storm) (Rare),Sp Fa Wi (Snow/Storm) (Rare),Sp Fa Wi (Snow/Storm) (Rare),,,,Sp Fa Wi (Snow/Storm) (Rare),Sp Fa Wi (Snow/Storm) (Rare),,,,,,,,,,,,Sp Fa Wi (Snow/Storm) (Rare),,
Spearmint,Wi,Wi,Wi,,Wi,Wi,Wi,,,,Wi,Wi,,,,,,,,,,,,Wi,,
Rowanberry,Wi (Rare),Wi (Rare),Wi (Rare),,Wi (Rare),Wi (Rare),Wi (Rare),,,,Wi (Rare),Wi (Rare),,,,,,,,,,,,Wi (Rare),,
Sloe Plum,Wi,Wi,,,,Wi,Wi,,,,Wi,Wi,,,,,,,,,,,,Wi,,
Yarrow,Wi (Rare),Wi (Rare),Wi (Rare),,Wi (Rare),Wi (Rare),Wi (Rare),,,,Wi (Rare),Wi (Rare),,,,,,,,,,,,Wi (Rare),,
Snow Owl Feather,Wi (Rare),Wi (Rare),Wi (Rare),,Wi (Rare),Wi (Rare),Wi (Rare),,,,Wi (Rare),Wi (Rare),,,,,,,,,,,,Wi (Rare),,
Void Mushroom,All (Rare),All (Rare),All (Rare),All,All (Rare),All (Rare),All (Rare),All (Rare),All,,All (Rare),All (Rare),,All,,,All (Rare),,,,,,,All (Rare),All (Rare),All
Liverwort,All,All,All,,All,All,All,All,All,,All,All,,All,,All,,,All,All,,All,,All,,
Unlucky Clover,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),,All (Rare),,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),,All (Rare),,,All (Snow/Storm) (Rare),,,,,,,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),
Thunder Cap,All (Snow/Storm),All (Snow/Storm),All (Snow/Storm),All (Rare),All (Snow/Storm),All (Snow/Storm),All (Snow/Storm),,,,All (Snow/Storm),All (Snow/Storm),,,,All,All (Rare),,All,All,,All,,All (Snow/Storm),All (Rare),
Witch Hazel,All (Sun) (Rare),All (Sun) (Rare),All (Sun) (Rare),,All (Sun) (Rare),All (Sun) (Rare),All (Sun) (Rare),,,,All (Sun) (Rare),All (Sun) (Rare),,All,,,,,,,,,,All (Sun) (Rare),,
Frost Cap,All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),,,,All (Rare),All (Rare),,,,,All (Rare),,,,,,,All (Rare),All (Rare),
Luminushroom,All (Sun) (Rare),All (Sun) (Rare),All (Sun) (Rare),All (Rare),All (Sun) (Rare),All (Sun),All (Sun) (Rare),,,,All (Sun) (Rare),All (Sun) (Rare),,,All,,All (Rare),,,,,,,All (Sun) (Rare),All (Rare),
Lucky Clover,All (Sun) (Rare),All (Sun) (Rare),All (Sun) (Rare),,All (Sun) (Rare),All (Sun) (Rare),All (Sun) (Rare),,,,All (Sun) (Rare),All (Sun) (Rare),,,,,,,,,,,,All (Sun) (Rare),,
Fire Wheel,All (Sun) (Rare),All (Sun) (Rare),All (Sun) (Rare),,All (Sun) (Rare),All (Sun),All (Sun) (Rare),,,,All (Sun) (Rare),All (Sun) (Rare),,,,All,,,All,All,,All,,All (Sun) (Rare),,All
Gultheria,Wi (Sun) (Rare),Wi (Sun) (Rare),Wi (Sun) (Rare),,Wi (Sun) (Rare),Wi (Sun),Wi (Sun) (Rare),,,,Wi (Sun) (Rare),Wi (Sun) (Rare),,,,,,,,,,,,Wi (Sun) (Rare),,
Holly,Wi (Rare),Wi (Rare),Wi (Rare),,Wi (Rare),Wi (Rare),Wi (Rare),,,,Wi (Rare),Wi (Rare),,,,,,,,,,,,Wi (Rare),,
Mistletoe,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,,,All (Rare),All (Rare),,All (Rare),,,,,,,,,,All (Rare),,
Poinsettia,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,,,All (Rare),All (Rare),,,,All,,,All,All,,All,,All (Rare),,
Silver Feather ,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),,,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),,,All (Rare),All (Rare),,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Rare),All (Snow/Storm) (Rare),All (Rare),,All (Snow/Storm) (Rare),,All (Rare)
Golden Feather ,All (Sun) (Rare),All (Sun) (Rare),All (Sun) (Rare),,All (Sun) (Rare),All (Sun) (Rare),All (Sun) (Rare),,,All (Sun) (Rare),All (Sun) (Rare),All (Sun) (Rare),,,All (Rare),All (Rare),,All (Sun) (Rare),All (Sun) (Rare),All (Rare),All (Sun) (Rare),All (Rare),,All (Sun) (Rare),,All (Rare)
Thunderbird Feather,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),,,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),,,,All (Rare),,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Rare),All (Snow/Storm) (Rare),All (Rare),,All (Snow/Storm) (Rare),,
Alkonost Feather,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),,,All (Rare),All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),,,,All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),,All (Snow/Storm) (Rare),,
Jackalope Antlers,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,,,All (Rare),All (Rare),,,All (Rare),,,,,,,,,All (Rare),,
Hellhound Fang,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),,All (Rare),,,,,,,,,,All (Rare),,All (Rare)
Wendigo Antler,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),,All (Rare),,,,,,,,,,All (Rare),,
Werewolf Claw,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),,All (Rare),,,,,,,,,,All (Rare),,
Tulikko Fur,Wi (Rare),Wi (Rare),Wi (Rare),,Wi (Rare),Wi (Rare),Wi (Rare),,Wi (Rare),,Wi (Rare),Wi (Rare),,Wi (Rare),,,,,,,,,,Wi (Rare),,
Iridium Feather,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),,All (Rare),,All (Rare)
Mythril Feather,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),,All (Rare),,All (Rare)
Radioactive Feather,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),,All (Rare),,All (Rare)
Alicorn,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,,All (Rare),All (Rare),All (Rare),,,All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),,All (Rare),,
Seraph Feather,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,,All (Rare),All (Rare),All (Rare),,,All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),,All (Rare),,All (Rare)
Gull Feather,,,,,,,,,,All,,,,,,,,All (Rare),All (Rare),,All (Rare),,,,,
Kelp,,,,,,,,,,All (Snow/Storm),,,,,,,,All (Snow/Storm),All (Snow/Storm),,All (Snow/Storm),,All,,,
Clam Seashell,,,,,,,,,,All,,,,,,,,All (Rare),All (Rare),,All (Rare),,All,,,
Marimo,,,,,,,,,,All,,,,,,,,All (Rare),All (Rare),,All (Rare),,All,,,
Red Algae,,,,,,,,,,All,,,,,,,,All (Rare),All (Rare),,All (Rare),,All,,,
Sand Dollar ,,,,,,,,,,All,,,,,,,,All (Rare),All (Rare),,All (Rare),,All,,,
Spiral Seashell,,,,,,,,,,All,,,,,,,,All (Rare),All (Rare),,All (Rare),,All,,,
Sea Fan Coral,,,,,,,,,,All,,,,,,,,All (Rare),All (Rare),,All (Rare),,All,,,
Anemushroom,,,,All (Rare),,,,,,All,,,,,,,All (Rare),All (Rare),All (Rare),,All (Rare),,All,,All (Rare),
Asterina,,,,,,,,,,All,,,,,,,,All (Rare),All (Rare),,All (Rare),,,,,
Crab Shell,,,,,,,,,,All,,,,,,,,All (Rare),All (Rare),,All (Rare),,All,,,
Seahorse ,,,,,,,,,,All,,,,,,,,All (Rare),All (Rare),,All (Rare),,,,,
Sea Star ,,,,,,,,,,All,,,,,,,,All (Rare),All (Rare),,All (Rare),,,,,
Snail Shell,,,,,,,,,,All,,,,,,,,All (Rare),All (Rare),,All (Rare),,All,,,
Starfish,,,,,,,,,,All,,,,,,,,All (Rare),All (Rare),,All (Rare),,All,,,
Brittle Star ,,,,,,,,,,All,,,,,,,,All (Rare),All (Rare),,All (Rare),,,,,
Fan Seashell,,,,,,,,,,All,,,,,,,,All (Rare),All (Rare),,All (Rare),,All,,,
Sea Dragon,,,,,,,,,,All,,,,,,,,All (Rare),All (Rare),,All (Rare),,,,,
Dried Sea Sponge,,,,,,,,,,All (Snow/Storm),,,,,,,,All (Snow/Storm),All (Snow/Storm),,All (Snow/Storm),,,,,
Sunstar,,,,,,,,,,All,,,,,,,,All (Rare),All (Rare),,All (Rare),,All,,,
Glass Buoy,,,,,,,,,,All (Snow/Storm),,,,,,,,All (Snow/Storm),All (Snow/Storm),,All (Snow/Storm),,All,,,
Sea Lily,,,,,,,,,,All,,,,,,,,All (Rare),All (Rare),,All (Rare),,,,,
Mermaid's Purse,,,,,,,,,,All (Snow/Storm),,,,,,,,All (Snow/Storm),All (Snow/Storm),,All (Snow/Storm),,,,,
Ambergris,,,,,,,,,,All (Rare),,,,,,,,All (Rare),All (Rare),,All (Rare),,,,,
Barbed Hook,,,,,,,,,,All (Snow/Storm),,,,,,,,All (Snow/Storm),All (Snow/Storm),,All (Snow/Storm),,All (Rare),,,
Coco de Mer,,,,,,,,,,All (Snow/Storm) (Rare),,,,,,All (Rare),,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Rare),All (Snow/Storm) (Rare),All (Rare),,,,
Sea Heart,,,,,,,,,,All (Snow/Storm) (Rare),,,,,,All (Rare),,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Rare),All (Snow/Storm) (Rare),All (Rare),,,,
Kraken Hook,,,,,,,,All (Rare),All (Rare),All (Rare),,,,All (Rare),,,,All (Rare),All (Rare),,All (Rare),,,,,
Leviathan Scale,,,,,,,,,,All (Rare),,,,,,,,All (Rare),All (Rare),,All (Rare),,,,,
Chives,,,,,,,,,All,,,,,All,,All,,,All,All,,All,,,,
Allium,,,,,,,,,All,,,,,All,,All,,,All,All,,All,,,,
Common Mushroom,,,,All,,,,All,All,,,,,All,,All,All (Rare),,All,All,,All,,,All (Rare),
Chanterelle,,,,All,,,,,All,,,,,All,,,All (Rare),,,,,,,,All (Rare),
Black Stone Flower,,,,All,,,,All,All,,,,,All,,All,All (Rare),,All,All,,All,,,All (Rare),
Morel,,,,All,,,,,All,,,,,All,,,All (Rare),,,,,,,,All (Rare),
Red Mushroom,,,,All,,,,,All,,,,,All,,,All (Rare),,,,,,,,All (Rare),
Wormwood,,,,,,,All,,All,,,,,All,,,,,,,,,,,,
Gem Cap,,,,All,,,,,All,,,,,All,All,,All (Rare),,,,,,,,All (Rare),All
Purple Mushroom,,,,All,,,,,All,,,,,All,,,All (Rare),,,,,,,,All (Rare),
Radioactive Mushroom,,,,All (Rare),,,,All (Rare),All,,,,,All,,,All (Rare),,,,,,,,All (Rare),
Red Antler Reishi,,,,All,,,All (Rare),,All,,,,,All,,,All (Rare),,,,,,,,All (Rare),
Dead Man's Fingers,,,,,,,,,All (Rare),,,,,All (Rare),,,,,,,,,,,,
Psilocybin Mushroom,,,,All (Rare),,,,,All (Rare),,,,,All (Rare),,,All (Rare),,,,,,,,All (Rare),
Tumbleweed,,,,,,,,,,,,,,,All,,,,,,,,,,,
Cactus Blossom,,,,,,,,,,,,,,,All,,,,,,,,,,,
Nopal,,,,,,,,,,,,,,,All,,,,,,,,,,,
Cactushroom,,,,All (Rare),,,,,,,,,,,All,,All (Rare),,,,,,,,All (Rare),
Opuntia Flower,,,,,,,,,,,,,,,All,,,,,,,,,,,
Caraway Flower,,,,,,,,,,,,,,,All (Rare),,,,,,,,,,,
Aloe,,,,,,,,,,,,,,,All,,,,,,,,,,,
Prickly Pear,,,,,,,,,,,,,,,All,,,,,,,,,,,
Bahidaj,,,,,,,,,,,,,,,All (Rare),,,,,,,,,,,
Peyote,,,,,,,,,,,,,,,All (Rare),,,,,,,,,,,
Xoconostle,,,,,,,,,,,,,,,All (Rare),,,,,,,,,,,
Nigella,,,,,,,,,,,,,,,All (Rare),,,,,,,,,,,
Garuda Feather,,,,,,,,,,,,,,,All (Rare),,,,,,,,,,,All (Rare)
Roc Feather,,,,,,,,,,,,,,,All (Rare),,,,,,,,,,,
Summer Starberry,,,,,,,,,,,,,,,Su,,,,,,,,,,,
Sunberry,,,,,,,,,,,,,,,Su (Rare),,,,,,,,,,,
Brassica Flower,,,Sp Su Fa,,Sp Su Fa,,,,,,,,,,,,,,,,,,,,,
Squash Flower,,,Sp Su Fa,,Sp Su Fa,,,,,,,,,,,,,,,,,,,,,
Berserker Mushroom,,,,All (Rare),,,All (Rare),,,,,,,,,,All (Rare),,,,,,,,All (Rare),
Magma Cap,,,,All (Rare),,,,,,,,,,,,,All (Rare),,,,,,,,All (Rare),
Mosshroom,,,,All (Rare),,,All,,,,,,,,,,All (Rare),,,,,,,,All (Rare),
Mushroom Tree Seed,,,,All (Rare),,,,,,,,,,,,,All (Rare),,,,,,,,All (Rare),
Duck Feather,,,,,,All,,,,,All,,,,,,,,,,,,,,,
Sakura,,,,,Sp (Rare),Sp (Rare),Sp (Sun) (Rare),,,,,,,,,,,,,,,,,Sp,,
Fiddlehead Fern,,,,,,,,,,,,,,,,All,,,All,All,,All,,,,All
Black Bamboo,,,,,,,,,,,,,,,,All,,,All,All,,All,,,,
Cassava Leaf,,,,,,,,,,,,,,,,All,,,All,All,,All,,,,
Blue Oyster Mushroom,,,,,,,All,,,,,,,,,All,,,All,All,,All,,,,
Flamingo Feather,,,,,,,,,,,,,,,,All,,,All,All,,All,,,,
Sugarcane,,,,,,,,,,,,,,,,All,,,All,All,,All,,,,
Cashew,,,,,,,,,,,,,,,,All,,,All,All,,All,,,,
Parrot Feather,,,,,,,,,,,,,,,,All,,All (Rare),All (Rare),All,All (Rare),All,,,,All
Peacock Feather,,,,,,,,,,,,,,,,All,,,All,All,,All,,,,
Macaw Feather,,,,,,,,,,,,,,,,All,,All (Rare),All (Rare),All,All (Rare),All,,,,All
Passion Flower,,,,,,,,,,,,,,,,All,,,All,All,,All,,,,
Hibiscus,,,,,,,,,,,,,,,,All,,,All,All,,All,,,,
Heliconia,,,,,,,,,,,,,,,,All,,,All,All,,All,,,,
Vanilla Orchid,,,,,,,,,,,,,,,,All,,,All,All,,All,,,,
Brazil Nut,,,,,,,,,,,,,,,,All (Rare),,,All (Rare),All (Rare),,All (Rare),,,,
Nagual Whiskers,,,,,,,,,,,,,,,,All (Rare),,,All (Rare),All (Rare),,All (Rare),,,,All (Rare)
Resplendent Feather,,,,,,,,,,,,,,,,All (Rare),,,All (Rare),All (Rare),,All (Rare),,,,All (Rare)
Phoenix Feather ,,,,,,,,,,,,,,,,All (Rare),,,All (Rare),All (Rare),,All (Rare),,,,All (Rare)
Green Algae,,,,,,,,,,,,,,,,,,,,,,,All,,,
Seaweed,,,,,,,,,,,,,,,,,,,,,,,All,,,
White Algae,,,,,,,,,,,,,,,,,,,,,,,All,,,
Clam,,,,,,,,,,,,,,,,,,,,,,,All,,,
Cockle,,,,,,,,,,,,,,,,,,,,,,,All,,,
Coral,,,,,,,,,,,,,,,,,,,,,,,All,,,
Mussel,,,,,,,,,,,,,,,,,,,,,,,All,,,
Sea Urchin,,,,,,,,,,,,,,,,,,,,,,,All,,,
Anchor,,,,,,,,,,,,,,,,,,,,,,,All,,,
Dried Starfish,,,,,,,,,,,,,,,,,,,,,,,All,,,
Nautilus Shell,,,,,,,,,,,,,,,,,,,,,,,All,,,
Rainbow Shell,,,,,,,,,,,,,,,,,,,,,,,All,,,
Copper Ore,,,,,,,,,,,,,,,,,,,,,,,All,,,
Gold Ore,,,,,,,,,,,,,,,,,,,,,,,All,,,
Iron Ore,,,,,,,,,,,,,,,,,,,,,,,All,,,
Mythril Ore,,,,,,,,,,,,,,,,,,,,,,,All (Rare),,,
Cork Bobber,,,,,,,,,,,,,,,,,,,,,,,All (Rare),,,
Lead Bobber,,,,,,,,,,,,,,,,,,,,,,,All (Rare),,,
Glass Shards,,,,,,,,All,,,,,,,,,,,,,,,,,,
Poison Apple,,,,,,,,,,,,,,All (Rare),,,,,,,,,,,,
Waldmeister,,,,,,,Sp Su,,,,,,,,,,,,,,,,,,,
Woodruff,,,,,,,Sp Su,,,,,,,,,,,,,,,,,,,
